id,identificacao,ementa,indexacao,tipoDocumento,dataApresentacaoDocumento,urlDocumento
8139883,PL 3186/2021,"Altera a Lei nº 6.259, de 30 de outubro de 1975, que dispõe sobre a organização das ações de Vigilância Epidemiológica, sobre o Programa Nacional de Imunizações, estabelece normas relativas à notificação compulsória de doenças e dá outras providências, para requerer o comprovante de vacinação contra a covid-19 para admissão no serviço público."," ALTERAÇÃO ,  LEI FEDERAL ,  VIGILANCIA EPIDEMIOLOGICA ,  REQUISITOS ,  INVESTIDURA ,  ADMISSÃO ,  CARGO PUBLICO ,  EMPREGO PUBLICO ,  AMBITO ,  ADMINISTRAÇÃO DIRETA ,  ADMINISTRAÇÃO INDIRETA ,  UNIÃO ,  ESTADOS ,  DISTRITO FEDERAL (DF) ,  MUNICIPIOS ,  COMPROVAÇÃO ,  VACINAÇÃO ,  NOVO CORONAVIRUS (COVID-19) .",Projeto de Lei Ordinária,2021-09-16,https://legis.senado.gov.br/sdleg-getter/documento?dm=9016975
8139928,PL 3188/2021,"Altera a Lei nº 13.999, de 18 de maio de 2020, que institui o Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe), para o desenvolvimento e o fortalecimento dos pequenos negócios; e altera as Lei nº 14.161, de 02 de junho de 2021, para permitir melhores condições de sustentabilidade ao Programa como política oficial de crédito permanente no tratamento diferenciado e favorecido aos beneficiários do Programa."," ALTERAÇÃO ,  LEI FEDERAL ,  PROGRAMA NACIONAL ,  APOIO ,  MICROEMPRESA ,  PEQUENA EMPRESA ,  REVOGAÇÃO ,  DISPOSITIVOS ,  MANUTENÇÃO ,  POLITICA DE CREDITO ,  CARATER PERMANENTE ,  SUSTENTABILIDADE ,  PROGRAMA .",Projeto de Lei Ordinária,2021-09-16,https://legis.senado.gov.br/sdleg-getter/documento?dm=9017014
8140313,PL 3202/2021,"Altera a Lei nº 10.826, de 22 de dezembro de 2003, para definir critérios para o controle e distribuição de munições."," ALTERAÇÃO ,  LEI FEDERAL ,  REQUISITOS ,  AQUISIÇÃO ,  ARMA DE FOGO ,  COMPROVAÇÃO ,  CAPACIDADE TECNICA . ALTERAÇÃO ,  LEI FEDERAL ,  CRITERIOS ,  CONTROLE ,  DISTRIBUIÇÃO ,  MUNIÇÃO ,  ARMA DE FOGO .",Projeto de Lei Ordinária,2021-09-16,https://legis.senado.gov.br/sdleg-getter/documento?dm=9017396
8140340,PLP 112/2021,Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.," CRIAÇÃO ,  LEI COMPLEMENTAR ,  CODIGO ELEITORAL ,  DEFINIÇÃO ,  PRINCIPIO JURIDICO ,  PARTIDO POLITICO ,  CONTABILIDADE ,  FINANÇAS ,  RECEITA ,  DOAÇÃO ,  DESPESA ,  FUNDO PARTIDARIO ,  PRESTAÇÃO DE CONTAS ,  ESTABELECIMENTO ,  FUNDAÇÃO ,  INSTITUIÇÃO PARTICULAR ,  ADMINISTRAÇÃO ,  ORGANIZAÇÃO ,  ELEIÇÕES ,  COMPETENCIA ,  JUSTIÇA ELEITORAL ,  TRIBUNAL SUPERIOR ELEITORAL (TSE) ,  TRIBUNAL REGIONAL ELEITORAL (TRE) ,  JUIZ ELEITORAL ,  JUNTA ELEITORAL ,  MINISTERIO PUBLICO ELEITORAL ,  ALISTAMENTO ELEITORAL ,  CADASTRO ,  DOMICILIO ELEITORAL ,  SISTEMA MAJORITARIO ,  SISTEMA PROPORCIONAL ,  DIREITOS POLITICOS ,  CONVENÇÃO ,  COLIGAÇÃO PARTIDARIA ,  CANDIDATURA ,  LIMITAÇÃO ,  REGISTRO ,  CANDIDATO ,  SISTEMA ELEITORAL ,  INFORMATICA ,  MESA ELEITORAL ,  LOGISTICA ,  VOTAÇÃO ,  TRANSPORTE ,  ELEITOR ,  ACESSIBILIDADE ,  APURAÇÃO ,  RESULTADO ,  NULIDADE ,  FISCALIZAÇÃO ,  ACOMPANHAMENTO ,  OBSERVAÇÃO ,  ENTIDADE INTERNACIONAL ,  DIPLOMAÇÃO ,  ARRECADAÇÃO ,  CUSTEIO ,  CAMPANHA ELEITORAL ,  COMERCIALIZAÇÃO ,  BENS ,  PRESTAÇÃO DE SERVIÇO ,  CAPTAÇÃO ,  RECURSOS FINANCEIROS ,  PROMOÇÃO ,  EVENTO ,  PROPAGANDA ELEITORAL ,  UTILIZAÇÃO ,  INTERNET ,  RADIODIFUSÃO ,  TELEVISÃO ,  REMOÇÃO ,  SUSPENSÃO ,  CONTEUDO ,  PODER DE POLICIA ,  DATA ,  ELEIÇÃO ,  DIVULGAÇÃO ,  PESQUISA ,  ESTATISTICA ,  REGULAMENTAÇÃO ,  INICIATIVA POPULAR ,  PLEBISCITO ,  REFERENDO ,  FIXAÇÃO ,  HIPOTESE ,  CASSAÇÃO ,  FRAUDE ,  CORRUPÇÃO ,  ABUSO DE PODER ,  NORMAS ,  PROCESSO ELEITORAL .",Projeto de Lei Complementar,2021-09-16,https://legis.senado.gov.br/sdleg-getter/documento?dm=9017420
8141039,PL 3217/2021,"Altera o art. 25 da Lei nº 9.605, de 12 de fevereiro de 1998, para autorizar a alienação antecipada da madeira apreendida no contexto da prática de infração administrativa ou crime ambiental."," ALTERAÇÃO ,  LEI FEDERAL ,  AUTORIZAÇÃO ,  ALIENAÇÃO ,  LEILÃO ,  MADEIRA ,  PRODUTO ,  APREENSÃO ,  INFRAÇÃO ,  CRIME CONTRA O MEIO AMBIENTE ,  DESTINAÇÃO ,  RECURSOS FINANCEIROS ,  ORGÃO ,  MEIO AMBIENTE .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018055
8141141,PL 3221/2021,"Altera a Lei nº 8.078, de 11 de setembro de 1990, para vedar as ligações telefônicas excessivas ao consumidor inadimplente."," ALTERAÇÃO ,  LEI FEDERAL ,  CODIGO DE DEFESA DO CONSUMIDOR ,  PROIBIÇÃO ,  EXCESSO ,  LIGAÇÃO ,  TELEFONE ,  COBRANÇA ,  DIVIDA ,  CONSUMIDOR ,  INADIMPLENCIA .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018125
8141000,PL 3214/2021,"Altera a Lei nº 9.998, de 17 de agosto de 2000, que institui o Fundo de Universalização dos Serviços de Telecomunicações, para estabelecer a obrigatoriedade de aplicação de recursos para subsidiar a contratação de serviços que possibilitem a conexão à internet em banda larga pela população de baixa renda."," ALTERAÇÃO ,  LEI FEDERAL ,  OBRIGATORIEDADE ,  APLICAÇÃO DE RECURSOS ,  FUNDO DE UNIVERSALIZAÇÃO DOS SERVIÇOS DE TELECOMUNICAÇÕES (FUST) ,  SUBSIDIO ,  CONTRATAÇÃO ,  SERVIÇO ,  TELECOMUNICAÇÃO ,  CONEXÃO ,  INTERNET ,  POPULAÇÃO ,  BAIXA RENDA .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018030
8141127,PL 3220/2021,"Acrescenta art. 69-A à Lei nº 8.212, de 24 de julho de 1993, que “Dispõe sobre a organização da Seguridade Social, institui Plano de Custeio, e dá outras providências” para dispor sobre a prova de vida de aposentados e pensionistas residentes no exterior e dá outras providências."," ALTERAÇÃO ,  LEI FEDERAL ,  LEI ORGANICA ,  CUSTEIO ,  SEGURIDADE SOCIAL ,  CRITERIOS ,  PROVA ,  VIDA ,  APOSENTADO ,  PENSIONISTA ,  RESIDENCIA ,  EXTERIOR ,  POSSIBILIDADE ,  PRESENÇA ,  EMBAIXADA ,  CONSULADO ,  ENCAMINHAMENTO ,  CERTIFICADO ,  COPIA ,  DOCUMENTO ,  DESTINAÇÃO ,  INSTITUTO NACIONAL DO SEGURO SOCIAL (INSS) ,  PROIBIÇÃO ,  EXCESSO ,  EXIGENCIA ,  EXCEÇÃO ,  INDICIO ,  FRAUDE .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018104
8141236,PL 3224/2021,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, e a Lei nº 8.429, de 2 de junho de 1992, para estabelecer, como efeito automático da condenação por crime contra a administração pública ou por ato de improbidade administrativa, a inabilitação para o exercício de cargo, emprego ou função pública por trinta anos."," ALTERAÇÃO ,  LEI FEDERAL ,  CODIGO PENAL ,  ESTABELECIMENTO ,  EFEITO ,  CONDENAÇÃO ,  CRIME CONTRA A ADMINISTRAÇÃO PUBLICA ,  IMPROBIDADE ADMINISTRATIVA ,  PROIBIÇÃO ,  PRAZO DETERMINADO ,  EXERCICIO ,  CARGO PUBLICO ,  EMPREGO PUBLICO ,  FUNÇÃO PUBLICA .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018173
8141019,PL 3216/2021,"Altera o art. 25 da Lei nº 9.605, de 12 de fevereiro de 1998, para vedar a destruição dos instrumentos utilizados nas infrações ambientais e estabelecer que o resultado de sua venda reverterá em favor do município em que ocorreu o ilícito."," ALTERAÇÃO ,  LEI FEDERAL ,  PROIBIÇÃO ,  DESTRUIÇÃO ,  EQUIPAMENTOS ,  INSTRUMENTO ,  UTILIZAÇÃO ,  INFRAÇÃO ,  CRIME CONTRA O MEIO AMBIENTE ,  VALOR ,  VENDA ,  ALIENAÇÃO ,  DESTINAÇÃO ,  MUNICIPIO .",Projeto de Lei Ordinária,2021-09-20,https://legis.senado.gov.br/sdleg-getter/documento?dm=9018036
